iter	RMSE
0	2.54546982
1	2.378960465
2	2.23138521
3	2.102054272
4	1.991018273
5	1.893448551
6	1.811310469
7	1.740516572
8	1.679627192
9	1.62863238
10	1.584027954
11	1.545711215
12	1.512946254
13	1.484548654
14	1.461412417
15	1.441409864
16	1.424724375
17	1.411024005
18	1.399378997
19	1.388494067
20	1.38010952
21	1.372338678
22	1.365666495
23	1.359382112
24	1.354386317
25	1.349466682
26	1.345301427
27	1.342082147
28	1.338908637
29	1.336746146
30	1.334363689
31	1.332113238
32	1.330209418
33	1.328147061
34	1.32664531
35	1.32470508
36	1.323387729
37	1.322413299
38	1.321373436
39	1.319676514
40	1.318812435
41	1.317982862
42	1.317132755
43	1.316318443
44	1.315458455
45	1.314706407
46	1.314035604
47	1.313578643
48	1.312947132
49	1.31224168
50	1.311659422
51	1.310707444
52	1.310175578
53	1.309719229
54	1.309181424
55	1.308761237
56	1.308259985
57	1.307777779
58	1.307489006
59	1.307003443
60	1.306635482
61	1.306334199
62	1.305925721
63	1.305593218
64	1.305356254
65	1.305079547
66	1.304876703
67	1.30454922
68	1.304258719
69	1.303865489
70	1.303450119
71	1.302936596
72	1.302694868
73	1.302548693
74	1.302196851
75	1.30176371
76	1.301244159
77	1.301124475
78	1.300826108
79	1.300420071
80	1.299701537
81	1.299291207
82	1.299014991
83	1.298744012
84	1.298524156
85	1.29813719
86	1.298031176
87	1.297766867
88	1.297528146
89	1.297413461
90	1.297248526
91	1.296591798
92	1.296285365
93	1.296207974
94	1.296041958
95	1.295744459
96	1.295526221
97	1.295397872
98	1.294946056
99	1.294819164
