iter	Passed	Remaining
0	5	565
1	11	551
2	17	559
3	23	557
4	28	544
5	33	530
6	39	527
7	45	521
8	51	522
9	57	517
10	63	514
11	69	510
12	75	504
13	81	502
14	87	496
15	92	488
16	98	483
17	104	478
18	111	475
19	117	469
20	123	462
21	128	456
22	134	450
23	140	445
24	146	439
25	151	432
26	157	426
27	163	419
28	169	413
29	175	408
30	180	401
31	186	397
32	192	391
33	198	384
34	203	378
35	210	373
36	216	368
37	222	362
38	228	357
39	233	350
40	239	345
41	245	339
42	251	333
43	256	327
44	262	320
45	268	314
46	274	309
47	280	303
48	285	297
49	291	291
50	297	285
51	302	279
52	309	274
53	314	268
54	320	261
55	326	256
56	331	250
57	338	245
58	343	239
59	349	233
60	356	227
61	361	221
62	367	216
63	373	210
64	379	204
65	385	198
66	391	192
67	397	186
68	403	181
69	408	175
70	413	169
71	419	163
72	424	157
73	429	150
74	434	144
75	440	139
76	446	133
77	452	127
78	457	121
79	463	115
80	469	110
81	474	104
82	479	98
83	485	92
84	490	86
85	496	80
86	502	75
87	508	69
88	513	63
89	519	57
90	525	52
91	531	46
92	538	40
93	544	34
94	550	28
95	556	23
96	562	17
97	567	11
98	572	5
99	578	0
